bloomberg_ticker,numerai_exit_date,numerai_entry_date,hconm,hcik,map_start,map_end
A US,2022-02-11,2003-01-31,AGILENT TECHNOLOGIES INC,1090872.0,2010-12-11,2099-12-31
A US,2022-02-11,2003-01-31,AGILENT TECHNOLOGIES INC,1090872.0,2007-04-14,2010-12-10
AA US,2022-02-11,2003-01-31,ALCOA INC,4281.0,2007-04-14,2016-11-11
AA US,2022-02-11,2003-01-31,ALCOA INC,4281.0,2007-04-14,2016-11-11
AA US,2022-02-11,2003-01-31,ARCONIC INC,4281.0,2016-11-12,2017-02-10
AA US,2022-02-11,2003-01-31,ARCONIC INC,4281.0,2016-11-12,2017-02-10
AA US,2022-02-11,2003-01-31,ALCOA CORP,1675149.0,2016-11-12,2099-12-31
AAAP US,2018-01-26,2016-08-05,ADVANCED ACCELERATR APP -ADR,1611787.0,2015-12-12,2099-12-31
AAAP US,2018-01-26,2016-08-05,ADVANCED ACCL APP -ADR -REDH,1611787.0,2014-12-13,2015-12-11
AAC US,2018-11-02,2015-01-30,FORTERUS INC,1393922.0,2008-08-09,2009-04-10
AAC US,2018-11-02,2015-01-30,MEZEY HOWARTH RACING STABLES,1393922.0,2008-06-14,2008-08-08
AAC US,2018-11-02,2015-01-30,AAC HOLDINGS INC,1606180.0,2014-10-11,2099-12-31
AAC US,2018-11-02,2015-01-30,AMERICAN ADDICTION CENTERS,1393922.0,2013-04-13,2014-08-08
AAC US,2018-11-02,2015-01-30,AMERICAN ADDICTION CENTERS,1606180.0,2014-08-09,2014-10-10
AAC US,2018-11-02,2015-01-30,FORTERUS INC,1393922.0,2009-04-11,2013-04-12
AACC US,2013-06-07,2004-12-17,ASSET ACCEPTANCE CAPITL CP,1264707.0,2012-01-14,2013-01-11
AACC US,2013-06-07,2004-12-17,ASSET ACCEPTANCE CAPITL CP,1264707.0,2007-04-14,2012-01-13
AACC US,2013-06-07,2004-12-17,ASSET ACCEPTANCE CAPITL CP,1264707.0,2013-01-12,2099-12-31
AACE US,2006-09-29,2004-12-03,ACE CASH EXPRESS INC,849116.0,2007-04-14,2099-12-31
AAI US,2011-04-29,2003-01-31,AIRTRAN HOLDINGS INC,948846.0,2007-04-14,2099-12-31
AAII US,2004-03-26,2004-02-20,AAIPHARMA INC,1013243.0,2010-09-11,2099-12-31
AAII US,2004-03-26,2004-02-20,AAIPHARMA INC,1013243.0,2007-04-14,2010-09-10
AAII US,2004-03-26,2004-02-20,ALABAMA AIRCRAFT INDUSTRIES,771729.0,2008-01-12,2099-12-31
AAII US,2004-03-26,2004-02-20,PEMCO AVIATION GROUP INC,771729.0,2007-04-14,2008-01-11
AAL US,2022-02-11,2014-08-29,AMERICAN AIRLINES GROUP INC,6201.0,2013-12-14,2099-12-31
AAL US,2022-02-11,2014-08-29,AMR CORP/DE,6201.0,2007-04-14,2013-12-13
AAN US,2022-02-11,2009-04-24,AARON RENTS INC,706688.0,2007-04-14,2009-05-08
AAN US,2022-02-11,2009-04-24,AARON'S INC,706688.0,2009-05-09,2020-11-13
AAN US,2022-02-11,2009-04-24,AARONS HOLDINGS COMPANY INC,1808834.0,2020-11-14,2020-12-11
AAN US,2022-02-11,2009-04-24,PROG HOLDINGS INC,1808834.0,2020-12-12,2099-12-31
AAN US,2022-02-11,2009-04-24,AARON RENTS INC,706688.0,2007-04-14,2009-05-08
AAN US,2022-02-11,2009-04-24,AARON'S INC,706688.0,2009-05-09,2020-11-13
AAN US,2022-02-11,2009-04-24,AARONS HOLDINGS COMPANY INC,1808834.0,2020-11-14,2020-12-11
AAN US,2022-02-11,2009-04-24,PROG HOLDINGS INC,1808834.0,2020-12-12,2099-12-31
AAN US,2022-02-11,2009-04-24,AARON RENTS INC,706688.0,2007-04-14,2009-05-08
AAN US,2022-02-11,2009-04-24,AARON'S INC,706688.0,2009-05-09,2020-11-13
AAN US,2022-02-11,2009-04-24,AARONS HOLDINGS COMPANY INC,1808834.0,2020-11-14,2020-12-11
AAN US,2022-02-11,2009-04-24,PROG HOLDINGS INC,1808834.0,2020-12-12,2099-12-31
AAN US,2022-02-11,2009-04-24,AARONS CO INC (THE),1821393.0,2021-05-08,2099-12-31
AAN US,2022-02-11,2009-04-24,AARONS CO INC (THE) -SPN,1821393.0,2020-12-12,2021-05-07
AAOI US,2021-06-25,2014-06-20,APPLIED OPTOELECTRONICS INC,1158114.0,2013-10-13,2099-12-31
AAOI US,2021-06-25,2014-06-20,APPLIED OPTOELECTRONICS-REDH,1158114.0,2013-09-17,2013-10-12
AAON US,2022-02-11,2007-06-22,AAON INC,824142.0,2007-04-14,2099-12-31
AAP US,2022-02-11,2003-01-31,ADVANCE AUTO PARTS INC,1158449.0,2007-04-14,2099-12-31
AAPL US,2022-02-11,2003-01-31,APPLE INC,320193.0,2007-04-14,2014-03-07
AAPL US,2022-02-11,2003-01-31,APPLE INC,320193.0,2014-03-08,2099-12-31
AATI US,2012-01-06,2006-04-28,ADVANCED ANALOGIC TECH,1104042.0,2007-04-14,2099-12-31
AAVL US,2015-09-18,2015-04-24,ADVERUM BIOTECHNOLOGIES,1501756.0,2016-05-14,2099-12-31
AAVL US,2015-09-18,2015-04-24,AVALANCHE BIOTECHNOLOGIES,1501756.0,2014-08-09,2016-05-13
AAWW US,2022-02-11,2006-07-07,ATLAS AIR WORLDWIDE HLDG INC,1135185.0,2007-04-14,2099-12-31
AAXN US,2021-01-22,2006-11-10,AXON ENTERPRISE INC,1069183.0,2017-04-08,2099-12-31
AAXN US,2021-01-22,2006-11-10,TASER INTERNATIONAL INC,1069183.0,2007-04-14,2017-04-07
ABAX US,2018-07-27,2005-06-10,ABAXIS INC,881890.0,2007-04-14,2099-12-31
ABBV US,2022-02-11,2013-08-30,ABBVIE INC,1551152.0,2015-10-10,2099-12-31
ABBV US,2022-02-11,2013-08-30,ABBVIE INC,1551152.0,2013-01-12,2015-10-09
ABC US,2022-02-11,2003-01-31,AMERISOURCEBERGEN CORP,1140859.0,2007-04-14,2099-12-31
ABCB US,2022-02-11,2007-08-24,AMERIS BANCORP,351569.0,2007-04-14,2099-12-31
ABCO US,2017-11-17,2003-04-25,ADVISORY BOARD CO,1157377.0,2007-04-14,2008-09-12
ABCO US,2017-11-17,2003-04-25,ADVISORY BOARD CO,1157377.0,2008-09-13,2099-12-31
ABCW US,2008-10-03,2004-03-12,ANCHOR BANCORP INC/WI,885322.0,2007-04-14,2011-12-09
ABCW US,2008-10-03,2004-03-12,ANCHOR BANCORP WISCONSIN INC,885322.0,2011-12-10,2099-12-31
ABCW US,2008-10-03,2004-03-12,ANCHOR BANCORP INC/WI,885322.0,2007-04-14,2011-12-09
ABCW US,2008-10-03,2004-03-12,ANCHOR BANCORP WISCONSIN INC,885322.0,2011-12-10,2099-12-31
ABD US,2007-01-26,2007-01-05,ACCO BRANDS CORP,712034.0,2007-04-14,2099-12-31
ABEO US,2021-06-18,2017-10-27,ABEONA THERAPEUTICS INC,318306.0,2015-07-11,2099-12-31
ABEO US,2021-06-18,2017-10-27,PLASMATECH BIOPHARMACEUTICLS,318306.0,2014-11-08,2015-07-10
ABEO US,2021-06-18,2017-10-27,ACCESS PHARMACEUTICALS INC,318306.0,2007-04-14,2014-11-07
ABF US,2003-08-15,2003-01-31,AIRBORNE INC,3000.0,2007-04-14,2099-12-31
ABG US,2022-02-11,2005-02-18,ASBURY AUTOMOTIVE GROUP INC,1144980.0,2007-04-14,2099-12-31
ABH US,2008-10-03,2008-09-05,ABITIBIBOWATER INC,743368.0,2007-11-10,2008-04-11
ABH US,2008-10-03,2008-09-05,ABITIBIBOWATER INC,1393066.0,2008-04-12,2012-06-08
ABH US,2008-10-03,2008-09-05,BOWATER INC,743368.0,2007-04-14,2007-11-09
ABH US,2008-10-03,2008-09-05,RESOLUTE FOREST PRODUCTS INC,1393066.0,2012-06-09,2099-12-31
ABH US,2008-10-03,2008-09-05,ABITIBIBOWATER INC,743368.0,2007-11-10,2008-04-11
